imdb_id,type,watched_at,watchlisted_at,rating,rated_at
tt0088763,movie,1985-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0107290,movie,1993-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0316654,movie,2004-01-01T00:00:00Z,,7,2026-09-11T23:27:10Z
tt0497116,movie,2006-01-01T00:00:00Z,,2,2026-09-11T23:27:10Z
tt0310793,movie,2002-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0361596,movie,2004-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0493430,movie,2006-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0322802,movie,2002-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0390521,movie,2004-01-01T00:00:00Z,,4,2026-09-11T23:27:10Z
tt0099487,movie,1990-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0120667,movie,2005-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0087332,movie,1984-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0110475,movie,1994-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0120616,movie,1999-01-01T00:00:00Z,,2,2026-09-11T23:27:10Z
tt0112384,movie,1995-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0112573,movie,1995-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0217505,movie,2002-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0213149,movie,2001-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt1152836,movie,2009-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0187393,movie,2000-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0094226,movie,1987-01-01T00:00:00Z,,4,2026-09-11T23:27:10Z
tt0289043,movie,2002-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0120804,movie,2002-01-01T00:00:00Z,,2,2026-09-11T23:27:10Z
tt0117571,movie,1996-01-01T00:00:00Z,,7,2026-09-11T23:27:10Z
tt0162661,movie,1999-01-01T00:00:00Z,,4,2026-09-11T23:27:10Z
tt1156398,movie,2009-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0298203,movie,2002-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0105417,movie,1992-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0332379,movie,2003-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0147800,movie,1999-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0343660,movie,2004-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0163651,movie,1999-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0107048,movie,1993-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0335266,movie,2003-01-01T00:00:00Z,,7,2026-09-11T23:27:10Z
tt0092099,movie,1986-01-01T00:00:00Z,,7,2026-09-11T23:27:10Z
tt0480249,movie,2007-01-01T00:00:00Z,,7,2026-09-11T23:27:10Z
tt0145487,movie,2002-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0133093,movie,1999-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
tt0942385,movie,2008-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0110322,movie,1994-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0386140,movie,2005-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0108358,movie,1993-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0105695,movie,1992-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0120891,movie,1999-01-01T00:00:00Z,,9,2026-09-11T23:27:10Z
tt0090390,show,1986-01-01T00:00:00Z,,3,2026-09-11T23:27:10Z
tt0106004,show,1993-01-01T00:00:00Z,,8,2026-09-11T23:27:10Z
tt0092359,show,1987-01-01T00:00:00Z,,6,2026-09-11T23:27:10Z
tt0096694,show,1989-01-01T00:00:00Z,,10,2026-09-11T23:27:10Z
