titleKey,title,year,type,status,traktId,imdbId,tmdbId,myRating,ratedAt,plays,lastWatchedAt,airedEpisodes,completionStatus,favorite,watchlistedAt,citedBy,genres,overview,keywords,originalLanguage,tmdbVoteAverage,tmdbVoteCount,tmdbPopularity,similarToIds,recommendedIds,similarToTitles,topCast,releaseDate,runtime,creator,belongsToCollection,tmdbStatus,numberOfSeasons,numberOfEpisodes,tmdbFetchedAt,rottenTomatoes,metacritic,omdbImdbRating,omdbImdbVotes,oscarWins,oscarNominations,emmyWins,emmyNominations,totalAwardWins,totalAwardNominations,awardsRaw,omdbFetchedAt,excludedFromRecommendations,exclusionReasonCode,exclusionReasonLabel,predictedScore,confidenceScore,popularityScore,audienceScoreComputed,awardsScoreComputed,reason
show:99353,Love is Blind,2020,show,Watched,157822,tt11704040,99353,6,2026-03-11T00:00:00.000Z,136,1970-01-01T00:00:00.000Z,136,caught-up,false,,,Reality,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",blind date; engagement; single; love; wedding; falling in love; dating show; social experiment; single ladies; single men,en,6.246,112,16.8391,61535; 305379; 61841; 94785; 127623; 208752; 277010; 305952; 240971; 241140; 62289; 62470; 62483; 62545; 275146; 1359; 1562; 206948; 1576; 207461,262469; 169588; 218521; 102085; 67385; 90521; 85904; 207461; 233816; 116250; 87387; 97083; 5583; 248984; 8514; 4940; 75383; 105689; 215943; 65854,Unlocked: A Jail Experiment,Nick Lachey; Vanessa Lachey,2020-02-13,,Chris Coelen,,Returning Series,10,135,2026-08-21,,60,6.2,12986,0,0,0,7,1,12,Nominated for 7 Primetime Emmys. 1 win & 12 nominations total,2026-08-21,false,,,21,85,46,60,70,Real award recognition (Nominated for 7 Primetime Emmys. 1 win & 12 nominations total).
show:102316,Love Life,2020,show,Watched,156752,tt10380768,102316,7,2021-06-24T00:00:00.000Z,20,1970-01-01T00:00:00.000Z,20,caught-up,false,,,Comedy; Drama,"A romantic comedy anthology series which follows a different protagonist each season on the journey from first love to last love, with each half-hour episode chronicling one of their relationships.",love; anthology; romance; bittersweet; intimate,en,6.943,114,8.5823,2913; 277369; 277404; 277406; 95341; 95344; 95346; 241373; 208906; 208913; 208931; 277414; 277415; 241259; 241276; 241348; 241361; 277486; 127652; 127668,131142; 91602; 251608; 10370; 78950; 67780; 73607; 41875; 90705; 99270; 126914; 96734; 61118; 61637; 240667; 207717; 116450; 99610; 107119; 105,The Moon on a Rainy Night; The Dangerous Affair; Obsessed; Shantaram; When One Day I Will Sleep,William Jackson Harper; Jessica Williams; Chris Powell; Punkie Johnson; Keith David,2020-05-27,30,Sam Boyd,,Canceled,2,20,2026-08-21,,61,7.5,17221,0,0,0,0,1,8,1 win & 8 nominations total,2026-08-21,false,,,34,85,46,61,10,You've loved 1 title with Jessica Williams before.
show:210239,Lucky Hank,2023,show,Watched,199744,tt19785210,210239,7,2023-05-07T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Drama,A mid-life crisis tale about the unlikely chairman of the English department in a badly underfunded college in the Pennsylvania rust belt.,based on novel or book; mid-life crisis,en,6.667,81,4.2787,896; 28913; 1024; 274260; 29063; 206118; 91586; 28672; 273866; 273941; 274047; 124067; 303572; 918; 799; 29004; 91470; 29055; 206037; 237475,273240; 217211; 130464; 116761; 90399; 239826; 80213; 107365; 72787; 199001; 100575; 241372; 226174; 51537; 10370; 130842; 207717; 256711; 156473; 67384,Romance in the Alley; The Jazz Age; Winning Time: The Rise of the Lakers Dynasty; Sherlock Holmes; Off Campus,Bob Odenkirk; Mireille Enos; Cedric Yarbrough; Diedrich Bader; Olivia Scott Welch,2023-03-19,,Paul Lieberstein,,Canceled,1,8,2026-08-21,,70,6.8,7534,0,0,0,0,3,1,3 wins & 1 nomination total,2026-08-21,false,,,43,85,43,70,7,You've loved 1 title with Bob Odenkirk before.
movie:76341,Mad Max: Fury Road,2015,movie,Watched,56360,tt1392190,76341,4,2015-05-15T00:00:00.000Z,1,2015-05-15T00:00:00.000Z,,,false,,,Action; Adventure; Science Fiction,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",rescue; australia; dystopia; sandstorm; post-apocalyptic future; sequel; survival; on the run; peak oil; dark future; intense; desert wasteland; convoy attack; high-speed chase; freedom quest,en,7.636,24443,46.1122,1009640; 3688; 1567021; 626393; 1196162; 4923; 4437; 445978; 1196067; 4917; 3598; 3509; 13155; 13204; 453571; 13256; 13282; 634649; 13317; 13335,9355; 507244; 8810; 270771; 786892; 294254; 7737; 1577; 310135; 534; 605; 13282; 9922; 15785; 624860; 156717; 21512; 37420; 496704; 2362,The Mitchells vs. the Mitchells; Terminator Salvation,Tom Hardy; Charlize Theron; Nicholas Hoult; Hugh Keays-Byrne; Josh Helman,2015-05-13,121,George Miller,Mad Max Collection,,,,2026-08-21,97,90,8.1,1198396,6,0,0,0,245,234,Won 6 Oscars. 245 wins & 234 nominations total,2026-08-21,false,,,51,100,98,94,100,Fits your taste for Action / Adventure.
show:1104,Mad Men,2007,show,Watched,1099,tt0804503,1104,9,2015-05-17T00:00:00.000Z,92,1970-01-01T00:00:00.000Z,92,caught-up,false,,,Drama,"Set in 1960-1970 New York, this sexy, stylized and provocative drama follows the lives of the ruthlessly competitive men and women of Madison Avenue advertising.",work; marketing; marriage; workplace; period drama; advertising; historical; advertising agency; executive; madison avenue; 1960s; sexual attitudes; dark; workplace harassment; understated,en,8.127,1567,83.5923,92090; 124549; 124587; 124595; 92135; 274476; 124817; 274561; 799; 814; 59149; 59215; 59312; 274570; 238469; 59599; 1037; 274897; 29398; 92637,130842; 116799; 90870; 51537; 90399; 65817; 138455; 246246; 216089; 226174; 46533; 228528; 58937; 83605; 79622; 67384; 61664; 69541; 4040; 61933,Blade of the Immortal; The Imperial Coroner; Rise of the Great Wall; Faith Makes Great; Love in the Moonlight,Jon Hamm; Elisabeth Moss; Vincent Kartheiser; January Jones; Christina Hendricks,2007-07-19,,Matthew Weiner,,Ended,7,92,2026-08-21,,86,8.7,287075,0,0,16,0,167,450,Won 16 Primetime Emmys. 167 wins & 450 nominations total,2026-08-21,false,,,94,95,71,86,100,You've loved 1 title from creator Matthew Weiner before.
show:90970,Made For Love,2021,show,Watched,154279,tt7808566,90970,7,2022-04-28T00:00:00.000Z,16,1970-01-01T00:00:00.000Z,16,caught-up,false,,,Sci-Fi & Fantasy; Drama; Comedy,"Thirty-something Hazel Green tries to escape a suffocating marriage — until she realizes her tech billionaire husband has implanted a revolutionary tracking device, the Made for Love, in her brain.",based on novel or book; dark comedy; sex doll; marital problem; tracking device; father daughter relationship; tech company,en,6.699,216,6.8126,208883; 95341; 95344; 241337; 241372; 208921; 208923; 277439; 241272; 241275; 241257; 241290; 2996; 95279; 127651; 127865; 127875; 306201; 95044; 62458,62822; 93289; 73411; 102621; 91977; 39510; 96734; 42009; 125116; 1639; 90228; 100771; 69478; 56570; 241554; 85273; 93784; 68421; 6323; 95839,The Investigator; Shantaram; When One Day I Will Sleep; 56 Days; Rivals,Cristin Milioti; Billy Magnussen; Dan Bakkedahl; Noma Dumezweni; Caleb Foote,2021-04-01,30,Patrick Somerville,,Canceled,2,16,2026-08-21,,68,6.9,13618,0,0,0,1,1,5,Nominated for 1 Primetime Emmy. 1 win & 5 nominations total,2026-08-21,false,,,44,90,52,68,15,You've loved 1 title with Cristin Milioti before.
movie:523607,Maestro,2023,movie,Watched,371754,tt5535276,523607,5,2023-11-22T00:00:00.000Z,1,2023-11-22T00:00:00.000Z,,,false,,,Drama; Romance; Music,"A towering and fearless love story chronicling the lifelong relationship between Leonard Bernstein and Felicia Montealegre Cohn Bernstein. A love letter to life and art, Maestro at its core is an emotionally epic portrayal of family and love.",husband wife relationship; show business; conductor; marriage; biography; based on true story; love; historical; lgbt; 1940s; cerebral; intimate; tortured genius,en,6.241,866,3.518,2282; 2288; 2289; 2302; 2304; 2306; 263259; 2355; 2370; 2378; 2379; 2381; 2428; 2433; 2438; 2447; 625430; 2457; 444483; 625572,14061; 814338; 851; 4148; 364733; 75900; 27804; 354743; 1092506; 17450; 119675; 111473; 2288; 10497; 15237; 391714; 28029; 12537; 1713; 4478,Topaz; Revolutionary Road; Blind; The Thing Called Love; Pennies from Heaven,Carey Mulligan; Bradley Cooper; Matt Bomer; Vincenzo Amato; Greg Hildreth,2023-11-22,129,Bradley Cooper,,,,,2026-08-21,,77,6.5,67592,0,7,0,0,27,180,Nominated for 7 Oscars. 27 wins & 180 nominations total,2026-08-21,false,,,66,90,66,77,100,You've loved 1 title from director Bradley Cooper before.
show:111141,Maid,2021,show,Watched,166129,tt11337908,111141,8,2021-10-01T00:00:00.000Z,10,1970-01-01T00:00:00.000Z,10,caught-up,false,,,Drama,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",underdog; based on novel or book; homelessness; based on true story; domestic abuse; poverty; maid; based on memoir or autobiography; custody; fight the system; social issues,en,8,972,13.7976,896; 28913; 1024; 274230; 274260; 29063; 206118; 206048; 91586; 206182; 28672; 273866; 273941; 274047; 274061; 124067; 303572; 303686; 918; 799,71715; 90257; 90399; 199001; 66292; 116761; 259702; 287527; 225634; 102904; 107365; 72787; 131142; 82883; 126280; 4275; 13796; 10370; 248416; 202162,Romance in the Alley; The Jazz Age; Extraordinary Siamese Story: Eng and Chang; Winning Time: The Rise of the Lakers Dynasty; Sherlock Holmes,Margaret Qualley; Nick Robinson; Andie MacDowell; Rylea Nevaeh Whittet,2021-09-30,,Molly Smith Metzler,,Ended,1,10,2026-08-21,,82,8.3,115584,0,0,0,3,7,37,Nominated for 3 Primetime Emmys. 7 wins & 37 nominations total,2026-08-21,false,,,54,90,67,82,75,Titles you loved list this as similar or recommended (1 time).
movie:334541,Manchester by the Sea,2016,movie,Watched,225133,tt4034228,334541,8,2016-11-18T00:00:00.000Z,1,2016-11-18T00:00:00.000Z,,,false,,,Drama,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.","funeral; boston, massachusetts; brother; boat; sadness; massachusetts; melancholy; loss; dysfunctional family; grief; hospital; house fire; death; nephew; ex-wife",en,7.553,6508,10.285,1056939; 299391; 1057077; 49456; 853867; 49689; 1608482; 487301; 853710; 49314; 49367; 1430200; 49787; 46989; 1230368; 1054284; 47062; 1605122; 1426927; 484222,261; 15867; 4787; 1999; 336000; 27585; 10740; 254172; 21291; 72213; 806368; 312804; 345938; 216156; 21634; 382614; 253331; 273059; 374461; 576069,,Casey Affleck; Lucas Hedges; Michelle Williams; Kyle Chandler; C.J. Wilson,2016-11-17,138,Kenneth Lonergan,,,,,2026-08-21,96,96,7.8,352390,2,0,0,0,128,268,Won 2 Oscars. 128 wins & 268 nominations total,2026-08-21,false,,,59,100,85,96,100,You've loved 1 title with Kyle Chandler before.
show:155533,Manhunt,2024,show,Watched,192561,tt16912512,155533,8,2024-04-26T00:00:00.000Z,7,1970-01-01T00:00:00.000Z,7,caught-up,false,,,Drama; Crime,A conspiracy thriller about one of the best known but least understood crimes in history. This is the astonishing story of the hunt for John Wilkes Booth in the aftermath of Abraham Lincoln's assassination—as the fate of the country hangs in the balance.,based on novel or book; asthma; miniseries; political assassination; american civil war; manhunt; political conspiracy,en,6.879,95,9.9669,208883; 277387; 95341; 95344; 241372; 208921; 208923; 277439; 241275; 241363; 241290; 95279; 127651; 127735; 127865; 127875; 306201; 95041; 95210; 62458,245219; 222766; 220801; 248416; 108181; 213306; 278178; 287238; 61859; 64464; 220056; 158083; 245927; 71146; 244243; 129552; 40675; 240740; 278624; 280511,The Investigator; Ramona; Shantaram; When One Day I Will Sleep; 56 Days,Tobias Menzies; Anthony Boyle; Lovie Simone; Will Harrison; Brandon Flynn,2024-03-14,,Monica Beletsky,,Ended,1,7,2026-08-21,,,7.2,9322,0,0,0,0,0,0,4 nominations total,2026-08-21,false,,,55,85,44,,0,You've loved 1 title with Tobias Menzies before.
